The Oak,"{""type"":""Point"",""coordinates"":[-0.301228830288776,51.4163691910173]}"
The Queens Head,"{""type"":""Point"",""coordinates"":[-0.301380555740264,51.4185610773891]}"
The Cardinal,"{""type"":""Point"",""coordinates"":[-0.298227289429948,51.4265542834258]}"
The Wych Elm,"{""type"":""Point"",""coordinates"":[-0.294002782143319,51.4171409710994]}"
The Willoughby Arms,"{""type"":""Point"",""coordinates"":[-0.292287898265935,51.4163505910461]}"
The Park Tavern,"{""type"":""Point"",""coordinates"":[-0.287553147897926,51.4195032901187]}"
Hand & Flower,"{""type"":""Point"",""coordinates"":[-0.306556019586662,51.4322827820103]}"
The New Inn,"{""type"":""Point"",""coordinates"":[-0.305055294073012,51.4361810883923]}"
The Rose of York,"{""type"":""Point"",""coordinates"":[-0.300350816930078,51.4506242664751]}"
The Roebuck,"{""type"":""Point"",""coordinates"":[-0.29843533924975,51.4524103933986]}"
The Pitcher and Piano,"{""type"":""Point"",""coordinates"":[-0.306281045278193,51.4580070801717]}"
Waterman's Arms,"{""type"":""Point"",""coordinates"":[-0.307118185291464,51.4593668108473]}"
Marlborough,"{""type"":""Point"",""coordinates"":[-0.296704824686422,51.4552432760087]}"
The Lass O' Richmond Hill,"{""type"":""Point"",""coordinates"":[-0.295528121495754,51.4514625893085]}"
The Royal Oak,"{""type"":""Point"",""coordinates"":[-0.340625255557594,51.4670233761308]}"
Coach and Horses,"{""type"":""Point"",""coordinates"":[-0.351547511771089,51.4715767683017]}"
Milford Arms,"{""type"":""Point"",""coordinates"":[-0.345035624276507,51.4738771861248]}"
The Woodlands Tavern,"{""type"":""Point"",""coordinates"":[-0.337638536900953,51.4729786761564]}"
The Bridge Inn,"{""type"":""Point"",""coordinates"":[-0.335804177090781,51.4750128039937]}"
The Red Lion,"{""type"":""Point"",""coordinates"":[-0.333870014452543,51.4735027997963]}"
The Victoria,"{""type"":""Point"",""coordinates"":[-0.327782041940537,51.4644127909822]}"
Ailsa Tavern,"{""type"":""Point"",""coordinates"":[-0.322782917384412,51.460537603166]}"
The George,"{""type"":""Point"",""coordinates"":[-0.328745485082755,51.4690137853937]}"
The Castle,"{""type"":""Point"",""coordinates"":[-0.32445288549759,51.4684511096172]}"
The Swan Inn,"{""type"":""Point"",""coordinates"":[-0.324111705352681,51.468941877439]}"
The Waiting Rooms,"{""type"":""Point"",""coordinates"":[-0.328267132193961,51.4722674877655]}"
The London Apprentice,"{""type"":""Point"",""coordinates"":[-0.320859624361112,51.4711367817132]}"
George and Dragon,"{""type"":""Point"",""coordinates"":[-0.313796889934307,51.4818395678009]}"
Pillar to Post,"{""type"":""Point"",""coordinates"":[-0.336616433770682,51.4830319926377]}"
Hare and Hounds,"{""type"":""Point"",""coordinates"":[-0.339301408323387,51.4916526629649]}"
O'Briens,"{""type"":""Point"",""coordinates"":[-0.312598717008349,51.4823132967751]}"
Six Bells,"{""type"":""Point"",""coordinates"":[-0.31086487867847,51.4823412123936]}"
The Magpie and Crown,"{""type"":""Point"",""coordinates"":[-0.30913957434379,51.4827942933603]}"
The Weir,"{""type"":""Point"",""coordinates"":[-0.309302708399386,51.4836494791102]}"
The King's Arms,"{""type"":""Point"",""coordinates"":[-0.31076588433416,51.4878140777628]}"
